id,date,amount,category,description,type
1,2026-01-02,4500,salario,SalárioJaneiro,credit
2,2026-01-03,45.90,alimentacao,Restaurante,debit
3,2026-01-04,120.00,transporte,Uber,debit
4,2026-01-05,300.00,compras,Roupas,debit
5,2026-01-06,80.00,lazer,Cinema,debit
6,2026-01-10,60.00,alimentacao,Delivery,debit
7,2026-01-12,200.00,saude,Farmácia,debit
8,2026-01-15,1500,moradia,Aluguel,debit
9,2026-01-18,90.00,lazer,Bar,debit
10,2026-01-20,70.00,alimentacao,Supermercado,debit
11,2026-02-02,4500,salario,SalárioFevereiro,credit
12,2026-02-03,55.00,alimentacao,Restaurante,debit
13,2026-02-05,130.00,transporte,Uber,debit
14,2026-02-06,500.00,compras,Eletrônicos,debit
15,2026-02-08,120.00,lazer,Show,debit
16,2026-02-10,75.00,alimentacao,Delivery,debit
17,2026-02-12,180.00,saude,Consulta,debit
18,2026-02-15,1500,moradia,Aluguel,debit
19,2026-02-18,150.00,lazer,Bar,debit
20,2026-02-20,90.00,alimentacao,Supermercado,debit
21,2026-03-02,5000,salario,SalárioMarço,credit
22,2026-03-03,65.00,alimentacao,Restaurante,debit
23,2026-03-05,140.00,transporte,Uber,debit
24,2026-03-06,350.00,compras,Roupas,debit
25,2026-03-08,200.00,lazer,Viagemcurta,debit
26,2026-03-10,85.00,alimentacao,Delivery,debit
27,2026-03-12,220.00,saude,Exames,debit
28,2026-03-15,1500,moradia,Aluguel,debit
29,2026-03-18,180.00,lazer,Bar,debit
30,2026-03-20,110.00,alimentacao,Supermercado,debit
