id,date,amount,category,description,type
1,2025-11-02,4200,salario,SalárioNovembro,credit
2,2025-11-03,35.00,alimentacao,Padaria,debit
3,2025-11-04,90.00,transporte,Uber,debit
4,2025-11-05,250.00,compras,Roupas,debit
5,2025-11-06,60.00,lazer,Cinema,debit
6,2025-11-10,55.00,alimentacao,ifood,debit
7,2025-11-12,150.00,saude,Farmacia,debit
8,2025-11-15,1400,moradia,Aluguel,debit
9,2025-11-18,120.00,lazer,Bar,debit
10,2025-11-20,200.00,compras,Amazon,debit
11,2025-11-22,80.00,transporte,99,debit
12,2025-12-02,4300,salario,SalárioDezembro,credit
13,2025-12-03,60.00,alimentacao,Restaurante,debit
14,2025-12-04,100.00,transporte,Uber,debit
15,2025-12-05,800.00,compras,PresentesNatal,debit
16,2025-12-06,150.00,lazer,Festa,debit
17,2025-12-10,70.00,alimentacao,Supermercado,debit
18,2025-12-12,200.00,saude,Consulta,debit
19,2025-12-15,1400,moradia,Aluguel,debit
20,2025-12-18,300.00,lazer,Viagem,debit
21,2025-12-22,120.00,compras,Shopee,debit
22,2026-01-02,4500,salario,SalárioJaneiro,credit
23,2026-01-03,45.90,alimentacao,Restaurante,debit
24,2026-01-04,120.00,transporte,Uber,debit
25,2026-01-05,300.00,compras,Roupas,debit
26,2026-01-06,80.00,lazer,Cinema,debit
27,2026-01-08,150.00,educacao,CursoOnline,debit
28,2026-01-10,60.00,alimentacao,Delivery,debit
29,2026-01-12,200.00,saude,Farmácia,debit
30,2026-01-15,1500,moradia,Aluguel,debit
31,2026-01-18,90.00,lazer,Bar,debit
32,2026-01-20,70.00,alimentacao,Supermercado,debit
33,2026-01-25,250.00,compras,Eletronicos,debit
34,2026-02-02,4500,salario,SalárioFevereiro,credit
35,2026-02-03,55.00,alimentacao,Restaurante,debit
36,2026-02-05,130.00,transporte,Uber,debit
37,2026-02-06,500.00,compras,Eletrônicos,debit
38,2026-02-07,300.00,emergencia,ConsertoCarro,debit
39,2026-02-08,120.00,lazer,Show,debit
40,2026-02-10,75.00,alimentacao,Delivery,debit
41,2026-02-12,180.00,saude,Consulta,debit
42,2026-02-15,1500,moradia,Aluguel,debit
43,2026-02-18,150.00,lazer,Bar,debit
44,2026-02-20,90.00,alimentacao,Supermercado,debit
45,2026-02-25,220.00,educacao,Curso,debit
46,2026-03-02,5000,salario,SalárioMarço,credit
47,2026-03-03,65.00,alimentacao,Restaurante,debit
48,2026-03-05,140.00,transporte,Uber,debit
49,2026-03-06,350.00,compras,Roupas,debit
50,2026-03-08,200.00,lazer,ViagemCurta,debit
51,2026-03-09,400.00,compras,NotebookParcela,debit
52,2026-03-10,85.00,alimentacao,Delivery,debit
53,2026-03-12,220.00,saude,Exames,debit
54,2026-03-15,1500,moradia,Aluguel,debit
55,2026-03-18,180.00,lazer,Bar,debit
56,2026-03-20,110.00,alimentacao,Supermercado,debit
57,2026-03-22,90.00,transporte,99,debit
58,2026-03-25,300.00,educacao,CursoIA,debit
